userid,test_type,assignment_count,ac_count,average_submissions_per_problem,total_submissions,average_codesize,average_codelines,average_completion_time,open_to_close_ratio,open_to_discount_ratio,timenorm_lastsubmit,ranknorm_lastsubmit,timenorm_firstsubmit,ranknorm_firstsubmit,normalized_codelines,ranknorm_codelines,normalized_codesize,ranknorm_codesize,normalized_ratio,ranknorm_ratio,error_count,score
83313,1,72,69,2.722222222,196,812.0714286,43.41326531,16692.23611,22.7488309,27.07174197,1.644527406,17.04194916,2.04927091,17.04194916,-21.50016751,-1.042014283,-23.95039123,-1.042014283,-26.61997973,-1.042014283,43.26879208,78
83314,1,82,79,4.56097561,374,952.7834225,45.52941176,51838.18293,-27.65841239,-30.7664429,-7.301463483,-23.00811343,-8.694898011,-23.00811343,-23.54996946,-1.328205582,-25.98079132,-1.328205582,-28.66597848,-1.328205582,83.86570485,83
83315,1,78,74,4.858974359,379,834.1002639,42.63060686,26003.91026,17.60725814,20.95890385,-1.949446751,3.862683912,-3.043996259,3.862683912,-21.26636578,-1.118101009,-24.10608009,-1.118101009,-27.62108615,-1.118101009,100.3629848,77
83316,1,72,66,2.902777778,209,1148.425837,48.64114833,20290.875,18.6377764,21.29587199,0.51795836,8.401339145,0.895967295,8.401339145,-21.12180031,1.177310907,-23.4195461,1.177310907,-26.70218481,1.177310907,46.66082982,83
83317,1,74,63,2.567567568,190,896.8052632,39.53684211,5176.986486,22.08488378,25.71951193,0.47261163,19.13149941,0.777805131,19.13149941,-21.73122793,0.897169509,-23.65037776,0.897169509,-25.72315464,0.897169509,39.4021605,66
83318,1,68,61,2.308823529,157,878.1273885,36.93630573,31821.23529,17.23879772,20.45107119,0.347239022,7.529486752,0.801881921,7.529486752,-20.42763693,0.321371439,-22.12479266,0.321371439,-25.14103305,0.321371439,33.96770826,86
83319,1,54,46,2.277777778,123,581.796748,33.67479675,6295.240741,16.20338471,20.66543436,-2.475097869,16.10946861,-2.109413271,16.10946861,-15.27978992,-0.421980779,-17.74232558,-0.421980779,-20.47780353,-0.421980779,27.65685886,23
83320,1,75,72,3.506666667,263,619.2471483,29,9339.68,16.4585268,18.16732778,-0.740101764,-0.837265818,-1.055789516,-0.837265818,-21.2598365,-0.541617687,-23.60527443,-0.541617687,-26.70709586,-0.541617687,75.71842919,84
83321,1,64,59,2.390625,153,630.3921569,38.09803922,293.109375,16.94616378,21.53299355,0.979814739,8.728412586,1.034565931,8.728412586,-18.9584903,1.020494618,-21.28844498,1.020494618,-23.04846545,1.020494618,33.44978113,79
83322,1,75,75,1.813333333,136,599.4411765,33.53676471,20645.82667,4.516539259,5.419745367,-2.603173046,-20.21025717,-3.710795559,-20.21025717,-21.3300798,-2.408964495,-23.36601471,-2.408964495,-26.59716425,-2.408964495,17.93375964,94
83323,1,72,68,2.347222222,169,566.6923077,28.95266272,26324.125,20.91011894,25.61165412,-3.610422856,13.40322042,-3.196381987,13.40322042,-20.31652604,0.045017622,-23.22401982,0.045017622,-26.71679361,0.045017622,31.99960796,77
83324,1,65,56,1.569230769,102,752.1862745,32.55882353,59662.83077,19.30608496,23.13744293,0.22821834,16.05544409,-0.517502252,16.05544409,-19.12692429,1.307006818,-20.97875681,1.307006818,-24.01499544,1.307006818,16.20455004,54
83325,1,62,59,2.806451613,174,987.7528736,49.94827586,14091.85484,20.6151645,24.26227045,-0.539591414,17.35373052,-0.156118479,17.35373052,-17.38786194,1.365300919,-18.68366731,1.365300919,-21.95873667,1.365300919,35.40469259,80
83326,1,68,60,2.426470588,165,701.0606061,36.80606061,11449.19118,18.99480959,22.0611686,2.504611574,11.82927127,2.610214854,11.82927127,-19.88355849,-0.045819614,-22.3010203,-0.045819614,-24.77840612,-0.045819614,36.10524529,61
83327,1,64,59,1.6875,108,941.0277778,52.96296296,33068.01563,16.39637553,17.95078464,-0.086703413,4.802018657,-0.381471362,4.802018657,-18.18459558,-1.671971928,-20.64849991,-1.671971928,-23.04014449,-1.671971928,17.32509759,65
83328,1,72,71,2.680555556,193,899.3782383,52.40932642,48373.30556,21.96559726,25.837986,1.567809534,13.09843499,1.610112352,13.09843499,-20.28748466,-0.929036183,-22.49406408,-0.929036183,-25.82422914,-0.929036183,40.64413448,70
83367,1,74,58,3.216216216,238,2159.89916,95.61344538,75651.93243,-16.84834649,-17.87832948,0.186190252,4.622616731,-0.459552971,4.622616731,-20.93628107,0.339288075,-22.23969116,0.339288075,-24.89395592,0.339288075,53.3439917,85
